model,site,features,layer,arm,breakdown,cell,accuracy,auc,control_accuracy,selectivity,n,n_groups,pos_frac,converged
starcoder2-3b,last_token,hidden,15,hidden_state,structure,direct,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,15,hidden_state,structure,helper,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,all,all,0.9762032085561497,0.9986159169550174,0.5627450980392157,0.41345811051693404,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,family,command_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,family,dynamic_exec,0.9285714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,structure,assign_chain,0.9523809523809523,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,structure,direct,0.9880952380952381,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,19,hidden_state,structure,helper,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,all,all,0.9641711229946524,0.9960553950959739,0.5058823529411764,0.4582887700534759,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,family,command_exec,0.9910714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,family,dynamic_exec,0.9017857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,structure,assign_chain,0.9285714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,structure,direct,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,23,hidden_state,structure,helper,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,all,all,0.9640819964349376,0.996563781889356,0.4878787878787879,0.4762032085561497,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,family,command_exec,0.9821428571428571,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,family,dynamic_exec,0.9107142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,family,sql_exec,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,structure,assign_chain,0.9404761904761905,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,structure,branch_merge,1.0,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,structure,direct,0.9642857142857143,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,27,hidden_state,structure,helper,0.9523809523809523,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,all,all,0.937433155080214,0.9940245487272854,0.5114973262032085,0.42593582887700543,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,family,command_exec,0.9732142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,family,dynamic_exec,0.8482142857142857,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,family,sql_exec,0.9910714285714286,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,structure,assign_chain,0.8928571428571429,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,structure,branch_merge,0.9761904761904762,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,structure,direct,0.9404761904761905,,,,67,168,0.5,True
starcoder2-3b,last_token,hidden,29,hidden_state,structure,helper,0.9404761904761905,,,,67,168,0.5,True
