lens,layer,family,n,median_rank,mean_margin,pass@1,pass@10,pass@25
j-lens,0,alias,10,3139.5,-0.069921875,0.0,0.0,0.0
j-lens,1,alias,10,4292.5,-1.10859375,0.0,0.0,0.0
j-lens,2,alias,10,1266.5,0.9820068359375,0.0,0.0,0.0
j-lens,3,alias,10,1865.0,1.244921875,0.0,0.0,0.0
j-lens,4,alias,10,1028.5,0.82001953125,0.0,0.0,0.0
j-lens,5,alias,10,1334.5,2.01103515625,0.0,0.0,0.0
j-lens,6,alias,10,2589.0,1.5398651123046876,0.0,0.0,0.0
j-lens,7,alias,10,2335.0,1.57244873046875,0.0,0.0,0.0
j-lens,8,alias,10,2346.0,1.5115234375,0.0,0.0,0.0
j-lens,9,alias,10,4775.0,-0.2171875,0.0,0.0,0.0
j-lens,10,alias,10,1662.5,0.9365234375,0.0,0.0,0.0
j-lens,11,alias,10,2412.5,0.650390625,0.0,0.0,0.0
j-lens,12,alias,10,2827.0,0.1931640625,0.0,0.0,0.0
j-lens,13,alias,10,2315.0,0.36875,0.0,0.0,0.0
j-lens,14,alias,10,2900.0,-0.371875,0.0,0.0,0.0
j-lens,15,alias,10,2042.0,0.45625,0.0,0.0,0.0
j-lens,16,alias,10,3499.0,0.0578125,0.0,0.0,0.0
j-lens,17,alias,10,942.5,0.8359375,0.0,0.0,0.0
j-lens,18,alias,10,1453.0,-0.603125,0.0,0.0,0.0
j-lens,19,alias,10,825.5,-1.08046875,0.0,0.0,0.0
j-lens,20,alias,10,561.0,-1.29609375,0.0,0.0,0.0
j-lens,21,alias,10,254.0,-0.7796875,0.0,0.0,0.0
j-lens,22,alias,10,125.5,1.9916015625,0.0,0.0,0.0
j-lens,0,arith,10,6027.0,-2.38818359375,0.0,0.0,0.0
j-lens,1,arith,10,9716.0,-2.637158203125,0.0,0.0,0.0
j-lens,2,arith,10,3327.0,-3.5904296875,0.0,0.0,0.0
j-lens,3,arith,10,3645.0,-2.523046875,0.0,0.0,0.0
j-lens,4,arith,10,2534.5,-2.551171875,0.0,0.0,0.0
j-lens,5,arith,10,2100.5,-2.025,0.0,0.0,0.0
j-lens,6,arith,10,4559.0,-0.96875,0.0,0.0,0.0
j-lens,7,arith,10,4479.0,-1.661572265625,0.0,0.0,0.0
j-lens,8,arith,10,3174.0,-1.585107421875,0.0,0.0,0.0
j-lens,9,arith,10,4940.0,-2.053076171875,0.0,0.0,0.0
j-lens,10,arith,10,2551.5,-1.8671875,0.0,0.0,0.0
j-lens,11,arith,10,2708.5,-1.6421875,0.0,0.0,0.0
j-lens,12,arith,10,4269.0,-1.690625,0.0,0.0,0.0
j-lens,13,arith,10,4024.0,-1.6875,0.0,0.0,0.0
j-lens,14,arith,10,4619.5,-1.7359375,0.0,0.0,0.0
j-lens,15,arith,10,4102.5,-1.5203125,0.0,0.0,0.0
j-lens,16,arith,10,4481.0,-1.36875,0.0,0.0,0.0
j-lens,17,arith,10,1371.0,-1.7375,0.0,0.0,0.0
j-lens,18,arith,10,2570.0,-1.6875,0.0,0.0,0.0
j-lens,19,arith,10,1527.0,-1.79375,0.0,0.0,0.0
j-lens,20,arith,10,1857.0,-2.41875,0.0,0.0,0.0
j-lens,21,arith,10,396.5,-3.021875,0.0,0.0,0.0
j-lens,22,arith,10,181.5,-4.821875,0.0,0.0,0.0
j-lens,0,binding,20,2417.0,0.003125,0.0,0.0,0.0
j-lens,1,binding,20,3110.0,4.2724609375e-05,0.0,0.0,0.0
j-lens,2,binding,20,595.0,-0.030859375,0.0,0.0,0.0
j-lens,3,binding,20,1290.0,0.047802734375,0.0,0.0,0.0
j-lens,4,binding,20,1082.0,-0.015240478515625,0.0,0.0,0.0
j-lens,5,binding,20,1052.5,0.008355712890625,0.0,0.0,0.0
j-lens,6,binding,20,803.0,0.018804931640625,0.0,0.0,0.0
j-lens,7,binding,20,1563.5,-0.02725830078125,0.0,0.0,0.0
j-lens,8,binding,20,1384.5,0.11943359375,0.0,0.0,0.0
j-lens,9,binding,20,2733.0,0.1321380615234375,0.0,0.0,0.0
j-lens,10,binding,20,1014.0,0.21104736328125,0.0,0.0,0.0
j-lens,11,binding,20,1058.0,0.13359375,0.0,0.0,0.0
j-lens,12,binding,20,1528.5,0.053515625,0.0,0.0,0.0
j-lens,13,binding,20,1625.5,0.04921875,0.0,0.0,0.0
j-lens,14,binding,20,2279.0,0.046875,0.0,0.0,0.0
j-lens,15,binding,20,1281.5,0.06796875,0.0,0.0,0.0
j-lens,16,binding,20,1749.5,0.0671875,0.0,0.0,0.0
j-lens,17,binding,20,552.0,-0.048828125,0.0,0.0,0.0
j-lens,18,binding,20,1030.5,-0.04375,0.0,0.0,0.0
j-lens,19,binding,20,583.5,-0.07890625,0.0,0.0,0.0
j-lens,20,binding,20,656.0,-0.14609375,0.0,0.0,0.0
j-lens,21,binding,20,197.5,-0.17421875,0.0,0.0,0.0
j-lens,22,binding,20,85.5,-0.124951171875,0.0,0.0,0.0
j-lens,0,call,10,3506.0,0.8116455078125,0.0,0.0,0.0
j-lens,1,call,10,5081.0,0.2523193359375,0.0,0.0,0.0
j-lens,2,call,10,1760.0,1.488525390625,0.0,0.0,0.0
j-lens,3,call,10,2799.0,2.216796875,0.0,0.0,0.0
j-lens,4,call,10,1275.0,2.47802734375,0.0,0.0,0.0
j-lens,5,call,10,1067.0,1.40020751953125,0.0,0.0,0.0
j-lens,6,call,10,4879.5,-0.6551513671875,0.0,0.0,0.0
j-lens,7,call,10,2677.5,-0.65252685546875,0.0,0.0,0.0
j-lens,8,call,10,2142.0,-1.015960693359375,0.0,0.0,0.0
j-lens,9,call,10,2610.5,-2.7506103515625,0.0,0.0,0.0
j-lens,10,call,10,896.0,-0.158447265625,0.0,0.0,0.0
j-lens,11,call,10,1427.0,-0.7431640625,0.0,0.0,0.0
j-lens,12,call,10,2011.5,-0.61083984375,0.0,0.0,0.0
j-lens,13,call,10,1366.5,0.703125,0.0,0.0,0.0
j-lens,14,call,10,1802.5,0.5234375,0.0,0.0,0.0
j-lens,15,call,10,1594.5,1.2421875,0.0,0.0,0.0
j-lens,16,call,10,1832.0,1.447265625,0.0,0.0,0.0
j-lens,17,call,10,757.5,2.91015625,0.0,0.0,0.0
j-lens,18,call,10,1032.5,2.45703125,0.0,0.0,0.0
j-lens,19,call,10,722.0,2.48828125,0.0,0.0,0.0
j-lens,20,call,10,749.0,2.046875,0.0,0.0,0.0
j-lens,21,call,10,225.5,3.81640625,0.0,0.0,0.0
j-lens,22,call,10,116.5,7.318359375,0.0,0.0,0.0
j-lens,0,defuse,10,2356.5,1.0,0.0,0.0,0.0
j-lens,1,defuse,10,3327.5,1.2802734375,0.0,0.0,0.0
j-lens,2,defuse,10,1976.0,1.69921875,0.0,0.0,0.0
j-lens,3,defuse,10,3269.0,1.5107421875,0.0,0.0,0.0
j-lens,4,defuse,10,1791.5,1.1953125,0.0,0.0,0.0
j-lens,5,defuse,10,1035.5,1.47265625,0.0,0.0,0.0
j-lens,6,defuse,10,1491.5,1.64141845703125,0.0,0.0,0.0
j-lens,7,defuse,10,1891.5,1.3251953125,0.0,0.0,0.0
j-lens,8,defuse,10,2438.5,1.78515625,0.0,0.0,0.0
j-lens,9,defuse,10,2843.5,1.66015625,0.0,0.0,0.0
j-lens,10,defuse,10,906.0,1.78125,0.0,0.0,0.0
j-lens,11,defuse,10,1115.0,1.5078125,0.0,0.0,0.0
j-lens,12,defuse,10,1669.0,1.296875,0.0,0.0,0.0
j-lens,13,defuse,10,1447.5,1.53125,0.0,0.0,0.0
j-lens,14,defuse,10,2698.0,1.734375,0.0,0.0,0.0
j-lens,15,defuse,10,1542.0,1.8203125,0.0,0.0,0.0
j-lens,16,defuse,10,2201.0,1.84375,0.0,0.0,0.0
j-lens,17,defuse,10,775.5,1.859375,0.0,0.0,0.0
j-lens,18,defuse,10,2463.5,1.46875,0.0,0.0,0.0
j-lens,19,defuse,10,1586.5,1.390625,0.0,0.0,0.0
j-lens,20,defuse,10,795.5,2.484375,0.0,0.0,0.0
j-lens,21,defuse,10,295.0,2.7421875,0.0,0.0,0.0
j-lens,22,defuse,10,101.5,4.080078125,0.0,0.0,0.0
j-lens,0,loopvar,10,193.0,3.65,0.0,0.0,0.0
j-lens,1,loopvar,10,771.0,3.184375,0.0,0.0,0.0
j-lens,2,loopvar,10,2339.5,2.765625,0.0,0.0,0.0
j-lens,3,loopvar,10,3108.0,1.921875,0.0,0.0,0.0
j-lens,4,loopvar,10,1401.0,1.4359375,0.0,0.0,0.0
j-lens,5,loopvar,10,902.0,2.9859375,0.0,0.0,0.0
j-lens,6,loopvar,10,100.5,4.053515625,0.0,0.0,0.0
j-lens,7,loopvar,10,142.0,5.122265625,0.0,0.0,0.0
j-lens,8,loopvar,10,160.0,4.99951171875,0.0,0.0,0.0
j-lens,9,loopvar,10,62.0,3.44998779296875,0.0,0.0,0.0
j-lens,10,loopvar,10,19.0,4.365625,0.0,0.2,0.7
j-lens,11,loopvar,10,26.0,3.263671875,0.0,0.0,0.5
j-lens,12,loopvar,10,4.0,6.7671142578125,0.0,1.0,1.0
j-lens,13,loopvar,10,0.0,9.46640625,0.8,1.0,1.0
j-lens,14,loopvar,10,0.0,10.9412109375,0.8,1.0,1.0
j-lens,15,loopvar,10,0.0,10.9466796875,1.0,1.0,1.0
j-lens,16,loopvar,10,0.0,11.31953125,1.0,1.0,1.0
j-lens,17,loopvar,10,0.0,20.6625,1.0,1.0,1.0
j-lens,18,loopvar,10,0.0,23.1734375,1.0,1.0,1.0
j-lens,19,loopvar,10,0.0,24.496875,1.0,1.0,1.0
j-lens,20,loopvar,10,0.0,24.790625,0.8,1.0,1.0
j-lens,21,loopvar,10,0.0,23.2875,1.0,1.0,1.0
j-lens,22,loopvar,10,0.0,22.2890625,1.0,1.0,1.0
j-lens,0,scopeword,20,4276.5,0.009375,0.0,0.0,0.0
j-lens,1,scopeword,20,5279.5,0.0623046875,0.0,0.0,0.0
j-lens,2,scopeword,20,3743.5,-0.0390625,0.0,0.0,0.0
j-lens,3,scopeword,20,6603.0,-0.30546875,0.0,0.0,0.0
j-lens,4,scopeword,20,3579.0,-0.436328125,0.0,0.0,0.0
j-lens,5,scopeword,20,1350.5,0.3286323547363281,0.0,0.0,0.0
j-lens,6,scopeword,20,2735.0,0.71455078125,0.0,0.0,0.0
j-lens,7,scopeword,20,1521.5,-0.209564208984375,0.0,0.0,0.0
j-lens,8,scopeword,20,2322.5,0.03001708984375,0.0,0.0,0.0
j-lens,9,scopeword,20,127.5,0.27783203125,0.0,0.0,0.05
j-lens,10,scopeword,20,94.5,0.28515625,0.0,0.0,0.0
j-lens,11,scopeword,20,124.5,0.666522216796875,0.0,0.0,0.05
j-lens,12,scopeword,20,113.0,0.1935302734375,0.0,0.0,0.1
j-lens,13,scopeword,20,174.5,-0.4145263671875,0.0,0.0,0.0
j-lens,14,scopeword,20,64.0,-0.6314754486083984,0.0,0.0,0.0
j-lens,15,scopeword,20,199.5,-1.111181640625,0.0,0.0,0.0
j-lens,16,scopeword,20,213.0,-1.040869140625,0.0,0.0,0.0
j-lens,17,scopeword,20,260.0,-0.86011962890625,0.0,0.0,0.0
j-lens,18,scopeword,20,227.0,-0.625830078125,0.0,0.0,0.0
j-lens,19,scopeword,20,290.0,-0.4076171875,0.0,0.0,0.0
j-lens,20,scopeword,20,230.5,0.304541015625,0.0,0.0,0.0
j-lens,21,scopeword,20,261.0,0.565625,0.0,0.0,0.0
j-lens,22,scopeword,20,433.5,0.8203125,0.0,0.0,0.0
j-lens,0,typeof,10,291.0,0.1015625,0.0,0.0,0.0
j-lens,1,typeof,10,698.0,0.459375,0.0,0.0,0.0
j-lens,2,typeof,10,2584.0,0.8375,0.0,0.0,0.0
j-lens,3,typeof,10,1709.0,1.090625,0.0,0.0,0.0
j-lens,4,typeof,10,1188.0,1.08125,0.0,0.0,0.0
j-lens,5,typeof,10,501.0,2.175,0.0,0.0,0.0
j-lens,6,typeof,10,190.0,1.94814453125,0.0,0.0,0.0
j-lens,7,typeof,10,305.0,1.6998046875,0.0,0.0,0.0
j-lens,8,typeof,10,146.0,2.2373046875,0.0,0.0,0.3
j-lens,9,typeof,10,17.0,3.1421875,0.0,0.0,0.6
j-lens,10,typeof,10,21.0,3.3685546875,0.0,0.0,0.6
